Word,Count,Noun,Verb,Letter,adjective,morphological,The,diacritic,Outcome
اذهب,4,0,3,0,0,2,0,2,1
احذر,4,0,3,0,0,2,0,2,1
ارفع,4,0,3,0,0,2,0,2,1
اهرب,4,0,3,0,0,2,0,3,1
اسمع,4,0,3,0,0,2,0,2,1
افتح,4,0,1,0,0,2,0,2,1
أخذَ,3,0,1,0,0,1,0,1,1
أخذاً,4,6,0,0,0,1,0,1,1
أمرَ,3,0,1,0,0,7,0,1,1
أمراً,4,6,0,0,0,7,0,1,1
أمنَ,3,0,1,0,0,1,0,1,1
أمناً,4,6,0,0,0,6,0,1,1
أكتبُ,4,0,3,0,0,2,0,1,1
أستغفرُ,6,0,3,0,0,8,0,1,1
أقتربُ,5,0,3,0,0,7,0,1,1
ابتعدَ,5,0,3,0,0,2,0,2,1
التربيه,7,6,0,0,0,1,1,1,1
اللذان,6,4,0,0,0,1,1,1,1
أتى,3,0,1,0,0,1,0,1,0
أنزلَ,4,0,1,0,0,2,0,1,0
أتحدثُ,5,0,2,0,0,2,0,1,0
أساس,4,6,0,0,0,6,0,1,0
أوزان,5,6,0,0,0,6,0,1,0
أنا,3,6,0,0,0,2,0,1,0
أنتَ,3,6,0,0,0,11,0,1,0
أنتِ,3,6,0,0,0,11,0,1,0
أنتما,4,6,0,0,0,11,0,1,0
أنتم,4,6,0,0,0,11,0,1,0
أنتن,4,6,0,0,0,11,0,1,0
انتشرَ,5,0,1,0,0,7,0,2,1
انتشرْ,5,0,3,0,0,7,0,2,1
انتشار,6,6,0,0,0,9,0,2,1
انتصرَ,5,0,1,0,0,7,0,2,1
انتصرْ,5,0,0,0,0,7,0,2,1
انتصار,6,6,0,0,0,4,0,2,1
انفتحَ,5,0,1,0,0,7,0,2,1
انفتحْ,5,0,3,0,0,7,0,2,1
انفتاح,6,6,0,0,0,4,0,2,1
اختلفَ,5,0,1,0,0,7,0,2,1
اختلفْ,5,0,3,0,0,7,0,2,1
اختلاف,5,6,0,0,0,4,0,2,1
استقامَ,6,0,1,0,0,8,0,2,1
استقمْ,5,0,3,0,0,8,0,2,1
استقامة,7,6,0,0,0,8,0,2,1
استراحَ,6,0,1,0,0,8,0,2,1
استرحْ,5,0,3,0,0,8,0,2,1
استراحة,7,6,0,0,0,8,0,2,1
استخرجَ,6,0,1,0,0,8,0,2,1
استخرجْ,6,0,3,0,0,8,0,2,1
استخراج,7,6,0,0,0,9,0,2,1
اطمأنَ,5,0,1,0,0,1,0,2,1
اطمئنْ,5,0,3,0,0,7,0,2,1
اطمئنان,7,6,0,0,0,4,0,2,1
إحسان,5,6,0,0,0,6,0,2,0
إسماعيل,7,6,0,0,0,9,0,2,0
إيلاء,4,1,0,0,0,6,0,2,0
إبحار,5,6,0,0,0,6,0,2,0
إيثار,5,6,0,0,0,6,0,2,0
إيمان,5,1,0,0,0,6,0,2,0
إيران,5,8,0,0,0,6,0,2,0
إيذاء,5,6,0,0,0,6,0,2,0
إهداء,5,6,0,0,0,6,0,2,0
إسراء,5,1,0,0,0,6,0,2,0
أفٍ,2,5,0,0,0,2,0,3,0
أستاذ,5,6,0,0,0,4,0,3,0
أمهات,5,6,0,0,0,11,0,3,0
أذن,3,0,0,0,0,1,0,1,0
أولو,4,6,0,0,0,2,0,3,0
أرجوحة,6,6,0,0,0,4,0,3,0
أمارس,5,0,2,0,0,6,0,3,0
أدافع,5,0,2,0,0,6,0,3,0
أذاكر,5,0,2,0,0,6,0,3,0
أسطورة,6,6,0,0,0,5,0,3,0
أسلوب,5,6,0,0,0,5,0,3,0
آمين,4,5,0,0,0,2,0,4,0
آمال,4,1,0,0,0,6,0,4,0
آجال,4,6,0,0,0,6,0,4,0
آفات,4,6,0,0,0,6,0,4,0
آله,3,6,0,0,0,6,0,4,0
آلات,3,6,0,0,0,6,0,4,0
آراء,4,6,0,0,0,6,0,4,0
آبار,4,6,0,0,0,6,0,4,0
آذان,4,6,0,0,0,6,0,4,0
آخِره,4,6,0,0,0,6,0,4,0
آمن,3,0,1,0,0,6,0,4,0
آدر,3,6,0,0,0,6,0,4,0
آنس,3,6,0,0,0,6,0,4,0
اقتلْ,4,0,3,0,0,2,0,3,1
اكتبْ,3,0,3,0,0,2,0,3,1
املاء,4,0,3,0,0,6,0,2,1
اقلبْ,4,0,3,0,0,2,0,2,1
احملْ,4,0,3,0,0,2,0,2,1
اعملْ,4,0,3,0,0,2,0,2,1
افعل,4,0,3,0,0,2,0,2,1
اكتملَ,5,0,3,0,0,7,0,2,1
اقتربَ,5,0,3,0,0,7,0,2,1
احتملَ,5,0,3,0,0,7,0,2,1
استكملَ,6,0,3,0,0,7,0,2,1
استكملْ,6,0,3,0,0,8,0,2,1
استكمال,6,6,0,0,0,9,0,2,1
استعملَ,6,0,1,0,0,8,0,2,1
استعملْ,6,0,3,0,0,8,0,2,1
استعمال,7,6,0,0,0,9,0,2,1
استوطنَ,6,0,1,0,0,8,0,2,1
استوطنْ,6,0,3,0,0,8,0,2,1
استيطان,7,6,0,0,0,9,0,2,1
اقتربْ,5,0,3,0,0,7,0,2,1
احتمِلْ,5,0,3,0,0,7,0,2,1
افتعل,5,0,3,0,0,7,0,2,1
افتقد,5,0,3,0,0,7,0,2,1
اكتفى,5,0,3,0,0,7,0,2,1
امتحن,5,0,3,0,0,7,0,2,1
انتصر,5,0,3,0,0,7,0,2,1
انتقى,5,0,3,0,0,7,0,2,1
انتكس,5,0,3,0,0,7,0,2,1
انتمى,5,0,3,0,0,7,0,2,1
انتهى,5,0,3,0,0,7,0,2,1
اكتشف,5,0,3,0,0,7,0,2,1
التف,5,0,3,0,0,7,0,2,1
أحمد,4,1,0,0,0,2,0,1,0
أسود,4,0,0,0,0,2,0,1,0
أثنى,4,0,1,0,0,2,0,1,0
أبعد,4,0,1,0,0,2,0,1,0
أبلغ,4,0,1,0,0,2,0,1,0
أثرى,4,0,1,0,0,2,0,1,0
أحرم,4,0,1,0,0,2,0,1,0
أدرج,4,0,1,0,0,2,0,1,0
أسرى,4,0,1,0,0,2,0,1,0
أسلم,4,0,1,0,0,2,0,1,0
إنما,4,0,0,1,0,2,0,2,0
إبداء,5,6,0,0,0,6,0,2,0
إشفاء,5,6,0,0,0,6,0,2,0
إنجلترا,7,8,0,0,0,5,0,2,0
إيطاليا,7,8,0,0,0,5,0,2,0
إخفاء,5,6,0,0,0,6,0,2,0
إنكار,5,6,0,0,0,6,0,2,0
إيواء,5,6,0,0,0,6,0,2,0
أشجار,5,6,0,0,0,6,0,1,0
أنهار,5,6,0,0,0,6,0,1,0
أعلام,4,6,0,0,0,6,0,1,0
أقسام,5,6,0,0,0,6,0,1,0
أفراح,5,6,0,0,0,6,0,1,0
أحدَثَ,4,0,1,0,0,2,0,1,0
أقرَبَ,4,6,0,0,0,2,0,1,0
أجمَلَ,4,6,0,0,0,2,0,1,0
أعجوبه,6,6,0,0,0,5,0,3,0
أقارب,5,6,0,0,0,5,0,1,0
أستراليا,8,8,0,0,0,5,0,3,0
أوباما,6,1,0,0,0,5,0,3,0
ألاء,3,1,0,0,0,6,0,1,0
الحيوان,7,6,0,0,0,11,1,1,1
الهجره,6,6,0,0,0,11,1,1,1
التزود,6,6,0,0,0,11,1,1,1
الماء,5,6,0,0,0,11,1,1,1
الطعام,6,6,0,0,0,11,1,1,1
القطيع,6,6,0,0,0,11,1,1,1
السرب,5,6,0,0,0,11,1,1,1
التجمع,6,6,0,0,0,11,1,1,1
اسمعْ,4,0,3,0,0,2,0,2,1
اجلسْ,4,0,3,0,0,2,0,2,1
ارتحلَ,5,0,1,0,0,7,0,2,1
ارتحلْ,5,0,3,0,0,7,0,2,1
ارتحال,6,6,0,0,0,4,0,2,1
اكتمال,6,6,0,0,0,4,0,2,1
اتِّصال,6,6,0,0,0,4,0,2,1
اتَّصلَ,5,0,1,0,0,7,0,2,1
اتَّصِلْ,5,0,3,0,0,7,0,2,1
اكتِلْ,3,0,3,0,0,2,0,2,1
استغفرْ,6,0,3,0,0,8,0,2,1
استغفار,7,3,0,0,0,9,0,2,1
استَعَدَّ,6,0,1,0,0,8,0,2,1
استَعِدْ,6,0,3,0,0,8,0,2,1
استعداد,7,6,0,0,0,9,0,2,1
استَعجَلَ,6,0,1,0,0,8,0,2,1
استَعجِلْ,6,0,3,0,0,8,0,2,1
استعجال,7,6,0,0,0,9,0,2,1
استَعلَمَ,6,0,1,0,0,8,0,2,1
استَعلِمْ,6,0,3,0,0,8,0,2,1
استعلام,6,6,0,0,0,9,0,2,1
التي,4,4,0,0,0,1,1,1,1
الذي,4,4,0,0,0,1,1,1,1
اللتان,6,4,0,0,0,1,1,1,1
اللذين,6,4,0,0,0,1,1,1,1
اللاتي,5,4,0,0,0,1,1,1,1
اللواتي,7,4,0,0,0,1,1,1,1
اللائي,5,4,0,0,0,1,1,1,1
أقامَ,4,0,1,0,0,2,0,1,0
أقِمْ,3,0,3,0,0,2,0,1,0
إقامه,5,6,0,0,0,6,0,2,0
أدخَلَ,4,0,1,0,0,2,0,1,0
أدخِلْ,4,0,3,0,0,2,0,1,0
إدخال,5,6,0,0,0,6,0,2,0
أرسَلَ,4,0,1,0,0,2,0,1,0
أرسَلْ,4,0,3,0,0,2,0,1,0
إرسال,5,6,0,0,0,6,0,2,0
استفاد,6,0,1,0,0,8,0,2,1
 استفِد ,5,0,3,0,0,8,0,2,1
 استفادة ,7,6,0,0,0,9,0,2,1
استمرَّ,5,0,1,0,0,8,0,2,1
استمِرّ,5,0,3,0,0,8,0,2,1
 استمرار ,6,6,0,0,0,9,0,2,1
استقلِّ,6,0,1,0,0,8,0,2,1
استقِلّ,6,0,3,0,0,8,0,2,1
استقلال,7,6,0,0,0,9,0,2,1
افتَتَحَ,5,0,1,0,0,7,0,2,1
افتَتِحْ,5,0,3,0,0,7,0,2,1
افتتاح,6,6,0,0,0,4,0,2,1
انكسر,5,0,1,0,0,7,0,2,1
انكسِر,5,0,3,0,0,7,0,2,1
انكسار,6,6,0,0,0,4,0,2,1
انتهى,5,0,1,0,0,7,0,2,1
انتهِ,4,0,3,0,0,7,0,2,1
انتهاء,6,6,0,0,0,4,0,2,1
ابتدأ,5,0,1,0,0,7,0,2,1
ابتدِئ,5,0,3,0,0,7,0,2,1
ابتداء,6,6,0,0,0,4,0,2,1
احمرَّ,5,0,1,0,0,7,0,2,1
احمرْ,5,0,3,0,0,7,0,2,1
احمرار,6,6,0,0,1,10,0,2,1
أشرف,4,1,0,0,0,2,0,1,0
 أماكن ,5,6,0,0,0,5,0,1,1
أشياء,5,6,0,0,0,6,0,1,0
أي,2,6,0,0,0,1,0,1,0
إياك,4,6,0,0,0,2,0,2,0
أيدي,4,6,0,0,0,1,0,1,0
 إياد,4,1,0,0,0,6,0,2,0
أحسن,4,0,1,0,0,2,0,1,0
أعظم,4,6,0,0,0,2,0,1,0
إنْ,2,0,0,1,0,1,0,2,0
إنَ,2,0,0,1,0,1,0,2,0
 أنْ ,2,0,0,1,0,1,0,1,0
أن,2,0,0,1,0,1,0,1,0
إما,3,0,0,1,0,1,0,2,0
إلَّا,3,0,0,1,0,1,0,2,0
ألَّا,3,0,0,1,0,1,0,1,0
ألا,3,0,0,1,0,1,0,1,0
ألم,3,0,0,1,0,1,0,1,0
الكريم,6,0,0,0,1,5,1,1,0
العمل,5,6,0,0,0,2,1,1,0
الوطن,5,6,0,0,0,2,1,1,0
أكرَم,4,0,1,0,0,2,0,1,0
إكرام,5,6,0,0,0,2,0,2,0
أكرِمْ,4,0,3,0,0,2,0,1,0
أحسَن,4,0,1,0,0,2,0,1,0
إحسان,5,6,0,0,0,6,0,2,0
أحسِن,4,0,3,0,0,2,0,1,0
 أنتَج ,4,0,1,0,0,2,0,1,0
إنتاج,5,6,0,0,0,2,0,2,0
أنتِج,4,0,3,0,0,2,0,1,0
أعطَى,4,0,1,0,0,2,0,1,0
إعطاء,5,6,0,0,0,6,0,2,0
أعطِ,3,0,3,0,0,2,0,1,0
أزال,4,0,1,0,0,8,0,1,0
إزالة,5,6,0,0,0,4,0,2,0
 أزِل ,3,0,3,0,0,2,0,1,0
أفاد,4,0,1,0,0,7,0,1,0
إفادة,5,6,0,0,0,4,0,2,0
أفِد,3,0,3,0,0,2,0,1,0
أعجَب,4,0,1,0,0,2,0,1,0
إعجاب,5,6,0,0,0,6,0,2,0
اشرح,4,0,3,0,0,2,0,2,1
احلل,4,0,3,0,0,2,0,3,1
اشدد,4,0,3,0,0,2,0,3,1
الجن,4,6,0,0,0,1,1,1,1
استطعتم,7,0,1,0,0,8,0,2,1
السماوات,8,6,0,0,0,5,1,1,1
انفذوا,6,0,3,0,0,2,0,3,1
الامتحان,7,6,0,0,0,4,1,1,1
أمري,4,6,0,0,0,1,0,1,0
أزري,4,6,0,0,0,1,0,1,0
أشركه,5,0,3,0,0,2,0,1,0
إنك,3,6,0,0,0,1,0,2,0
أوتيت,5,0,1,0,0,2,0,3,0
الإنس,4,6,0,0,0,2,1,1,0
أقطار,5,6,0,0,0,6,0,1,0
أضع,3,0,3,0,0,2,0,1,0
أفلح,4,0,1,0,0,2,0,1,0
أطلب,4,0,3,0,0,2,0,1,0
أصفر,4,0,0,0,1,2,0,1,0
أعذب,4,0,0,0,1,2,0,1,0
أعزب,4,0,0,0,1,2,0,1,0
أعور,4,0,0,0,1,2,0,1,0
أسود,4,0,0,0,1,2,0,1,0
أعزل,4,0,0,0,1,2,0,1,0
أبيض,4,0,0,0,1,2,0,1,0
أحمر,4,0,0,0,1,2,0,1,0
أزرق,4,0,0,0,1,2,0,1,0
أخضر,4,5,0,0,1,2,0,1,0
إيهِ,3,5,0,0,0,1,0,2,0
إليكَ,4,5,0,0,0,1,0,2,0
أمامكَ,5,5,0,0,0,1,0,1,0
أهٍ,2,5,0,0,0,1,0,1,0
أواه,4,5,0,0,0,1,0,1,0
أنه,3,0,0,0,1,1,0,3,0
أثير,4,6,0,0,0,1,0,3,0
أيات,4,6,0,0,0,6,0,3,0
أساليب,6,6,0,0,0,5,0,3,0
أسلوبه,6,6,0,0,0,2,0,3,0
إعجازه,6,6,0,0,0,2,0,3,0
أعجزهم,6,6,0,0,0,2,0,3,0
إعجاز,5,6,0,0,0,6,0,3,0
أنّهم,5,0,1,0,0,1,0,1,0
إنّما,5,0,0,0,1,1,0,1,0
أعجمي,5,6,0,0,0,2,0,3,0
أعجميا,6,6,0,0,0,2,0,3,0
أرباب,5,6,0,0,0,6,0,3,0
اجتمعت,6,0,1,0,0,2,0,5,0
اجتمع,5,0,1,0,0,2,0,1,0
اجمع,4,0,3,0,0,2,0,1,0
أقدم,4,0,1,0,0,2,0,1,0
ألفاظ,4,6,0,0,0,6,0,3,0
أدب,3,6,0,0,0,2,0,3,0
أمّ,3,0,1,0,0,2,0,1,0
آرامية,6,6,0,0,0,2,0,3,0
أطلقوا,6,0,1,0,0,2,0,3,0
أول,3,6,0,0,0,2,0,1,0
اللغة,5,6,0,0,0,2,1,3,0
السامية,7,6,0,0,0,1,1,3,1
العرب,5,6,0,0,0,1,1,3,1
العربيه,7,6,0,0,0,1,1,3,1
الحروف,6,6,0,0,0,1,1,3,1
القرأن,6,6,0,0,0,1,1,3,1
الكريم,6,6,0,1,0,1,1,3,1
العالم,6,6,0,0,0,1,1,3,1
أنها,4,0,1,0,0,2,0,1,1
التوراة,7,6,0,0,0,2,1,3,0
أحبار,5,6,0,0,0,6,0,3,1
إصحاح,5,6,0,0,0,6,0,3,0
التكوين,7,6,0,0,0,6,1,3,0
أجناس,5,6,0,0,0,6,0,3,1
البشر,5,6,0,0,0,2,1,3,0
أبناء,5,6,0,0,0,2,0,3,1
إخوة,4,6,0,0,0,2,0,3,0
أَنَّى,6,6,0,0,0,2,0,3,0
السامية,7,6,0,0,0,2,1,3,0
الساميون,8,6,0,0,0,2,1,3,1
الجزيرة,7,6,0,0,0,2,1,3,1
إعتبار,6,6,0,0,0,2,0,3,1
إعتبر,5,0,1,0,0,4,0,1,0
المناطق,7,6,0,0,0,2,1,3,0
المعروف,7,6,0,0,0,2,1,3,1
اللغات,6,6,0,0,0,2,1,3,1
النحو,5,6,0,0,0,2,1,3,1
العربي,6,6,0,0,0,2,1,3,1
القاموس,7,6,0,0,0,2,1,3,1
الصرف,5,6,0,0,0,2,1,3,1
التعبير,7,6,0,0,0,2,1,3,1
أَنَى,6,6,0,0,0,2,0,3,1
أساليبهم,8,6,0,0,0,5,0,3,0
التخاطب,7,6,0,0,0,1,0,3,0
الظواهر,7,6,0,0,0,1,1,3,1
البلاغة,7,6,0,0,0,1,1,3,1
إليه,4,6,0,0,0,1,0,3,1
أعجميا,6,6,0,0,0,1,0,3,0
آياته,5,6,0,0,0,1,0,3,0
أنّ,3,0,1,0,0,1,0,1,0
المألوف,7,6,0,1,0,1,1,3,0
المفردات,8,6,0,0,0,1,1,3,1
الحروف,6,6,0,0,0,1,1,3,1
الجمل,5,6,0,0,0,1,1,3,1
أعجزهم,6,0,1,1,0,2,0,5,1
البياني,7,6,0,0,0,2,0,3,0
الخطاب,6,6,0,0,0,2,1,3,1
إعجازه,5,6,0,1,0,6,0,3,1
الجنّ,5,6,0,0,0,2,0,3,0
أتوا,4,0,1,0,0,2,0,3,0
أتى,3,0,1,0,0,2,0,1,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
